date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2024-04-25 06:22:45 ::1 GET / - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 - 200 0 0 2050
2024-04-25 06:22:45 ::1 GET /js/site.js v=4q1jwFhaPaZgr8WAUSrux6hAuh0XDg9kPS3xIVq36I0 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 38
2024-04-25 06:22:45 ::1 GET /css/site.css - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 49
2024-04-25 06:22:45 ::1 GET /lib/bootstrap/dist/css/bootstrap.min.css - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 69
2024-04-25 06:22:45 ::1 GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 99
2024-04-25 06:22:45 ::1 GET /lib/jquery/dist/jquery.min.js - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 117
2024-04-25 06:22:45 ::1 GET /favicon.ico - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 15
2024-04-25 06:22:48 ::1 GET /Links - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/ 200 0 0 14
2024-04-25 06:22:48 ::1 GET /News - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Links 200 0 0 21
2024-04-25 06:22:49 ::1 GET /Reviews - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/News 200 0 0 30
2024-04-25 06:22:57 ::1 GET /Products/Featured - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Reviews 200 0 0 6191
2024-04-25 06:22:58 ::1 GET /Products - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Reviews 200 0 64 8632
2024-04-25 06:23:00 ::1 GET /Products - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Reviews 200 0 0 7074
2024-04-25 06:23:02 ::1 GET /Products/Featured - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Reviews 200 0 0 5012
2024-04-25 06:23:17 ::1 GET /Products - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Products/Featured 200 0 0 7170
2024-04-25 06:23:34 ::1 GET /Products/Featured 2 8126 - ::1 python-requests/2.26.0 - 200 0 0 5023
2024-04-25 06:23:39 ::1 GET /Products/Featured 3 8126 - ::1 python-requests/2.26.0 - 200 0 0 10030
2024-04-25 06:23:44 ::1 GET /Products/Featured 4 8126 - ::1 python-requests/2.26.0 - 200 0 0 15042
2024-04-25 06:23:44 ::1 GET /News - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/Products 200 0 0 11817
2024-04-25 06:23:49 ::1 GET /Products/Featured 5 8126 - ::1 python-requests/2.26.0 - 200 0 0 20044
2024-04-25 06:23:54 ::1 GET /Products/Featured 6 8126 - ::1 python-requests/2.26.0 - 200 0 0 25044
2024-04-25 06:23:59 ::1 GET /Products/Featured 7 8126 - ::1 python-requests/2.26.0 - 200 0 0 30057
2024-04-25 06:23:59 ::1 GET /News - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/News 200 0 64 13747
2024-04-25 06:24:04 ::1 GET /Products/Featured 8 8126 - ::1 python-requests/2.26.0 - 200 0 0 35062
2024-04-25 06:24:04 ::1 GET / - 8126 - ::1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/124.0.0.0+Safari/537.36+Edg/124.0.0.0 http://localhost:8126/News 200 0 0 11986
2024-04-25 06:24:09 ::1 GET /Products/Featured 9 8126 - ::1 python-requests/2.26.0 - 200 0 0 40060
2024-04-25 06:24:14 ::1 GET /Products/Featured 12 8126 - ::1 python-requests/2.26.0 - 200 0 0 45059
2024-04-25 06:24:19 ::1 GET /Products/Featured 11 8126 - ::1 python-requests/2.26.0 - 200 0 0 50064
2024-04-25 06:24:24 ::1 GET /Products/Featured 10 8126 - ::1 python-requests/2.26.0 - 200 0 0 55069
2024-04-25 06:24:29 ::1 GET /Products/Featured 13 8126 - ::1 python-requests/2.26.0 - 200 0 0 60081
2024-04-25 06:24:34 ::1 GET /Products/Featured 14 8126 - ::1 python-requests/2.26.0 - 200 0 0 60088
2024-04-25 06:24:39 ::1 GET /Products/Featured 15 8126 - ::1 python-requests/2.26.0 - 200 0 0 60085
2024-04-25 06:24:44 ::1 GET /Products/Featured 16 8126 - ::1 python-requests/2.26.0 - 200 0 0 60084
2024-04-25 06:24:49 ::1 GET /Products/Featured 17 8126 - ::1 python-requests/2.26.0 - 200 0 0 60077
2024-04-25 06:24:54 ::1 GET /Products/Featured 18 8126 - ::1 python-requests/2.26.0 - 200 0 0 60091
2024-04-25 06:24:59 ::1 GET /Products/Featured 19 8126 - ::1 python-requests/2.26.0 - 200 0 0 60087
2024-04-25 06:25:04 ::1 GET /Products/Featured 20 8126 - ::1 python-requests/2.26.0 - 200 0 0 60093
2024-04-25 06:25:09 ::1 GET /Products/Featured 21 8126 - ::1 python-requests/2.26.0 - 200 0 0 60098
2024-04-25 06:25:14 ::1 GET /Products/Featured 22 8126 - ::1 python-requests/2.26.0 - 200 0 0 60104
2024-04-25 06:25:19 ::1 GET /Products/Featured 23 8126 - ::1 python-requests/2.26.0 - 200 0 0 60105
2024-04-25 06:25:24 ::1 GET /Products/Featured 24 8126 - ::1 python-requests/2.26.0 - 200 0 0 60107
2024-04-25 06:25:29 ::1 GET /Products/Featured 25 8126 - ::1 python-requests/2.26.0 - 200 0 0 60106
2024-04-25 06:25:34 ::1 GET /Products/Featured 26 8126 - ::1 python-requests/2.26.0 - 200 0 0 60104
2024-04-25 06:25:39 ::1 GET /Products/Featured 27 8126 - ::1 python-requests/2.26.0 - 200 0 0 60115
2024-04-25 06:25:44 ::1 GET /Products/Featured 28 8126 - ::1 python-requests/2.26.0 - 200 0 0 60112
2024-04-25 06:25:49 ::1 GET /Products/Featured 29 8126 - ::1 python-requests/2.26.0 - 200 0 0 60119
2024-04-25 06:25:54 ::1 GET /Products/Featured 30 8126 - ::1 python-requests/2.26.0 - 200 0 0 60111
2024-04-25 06:25:59 ::1 GET /Products/Featured 31 8126 - ::1 python-requests/2.26.0 - 200 0 0 60110
2024-04-25 06:26:04 ::1 GET /Products/Featured 32 8126 - ::1 python-requests/2.26.0 - 200 0 0 60110
2024-04-25 06:26:09 ::1 GET /Products/Featured 33 8126 - ::1 python-requests/2.26.0 - 200 0 0 60110
2024-04-25 06:26:14 ::1 GET /Products/Featured 34 8126 - ::1 python-requests/2.26.0 - 200 0 0 60108
2024-04-25 06:26:19 ::1 GET /Products/Featured 35 8126 - ::1 python-requests/2.26.0 - 200 0 0 60109
